Sale Date,Product,Qty,Day,Month,DayOfWeek,Product_ID
2026-04-01,AI Gloves (50 Pcs Packet) - 2024,2.0,1,4,2,0
2026-04-01,AI Sheath - for 0.25 ml straw (50 Pcs Packet),8.0,1,4,2,3
2026-04-01,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),251.0,1,4,2,5
2026-04-01,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),292.0,1,4,2,6
2026-04-01,Frozen Semen Straw (FSS) - GIR,587.0,1,4,2,7
2026-04-01,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,189.0,1,4,2,8
2026-04-01,Frozen Semen Straw (FSS) Buffalo Murrah,75.0,1,4,2,9
2026-04-01,Liquid Nitrogen (LN2) ,497.0,1,4,2,11
2026-04-02,AI Gloves (50 Pcs Packet) - 2024,6.0,2,4,3,0
2026-04-02,AI Sheath - for 0.25 ml straw (50 Pcs Packet),9.0,2,4,3,3
2026-04-02,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),35.0,2,4,3,5
2026-04-02,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),118.0,2,4,3,6
2026-04-02,Frozen Semen Straw (FSS) - GIR,157.0,2,4,3,7
2026-04-02,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,125.0,2,4,3,8
2026-04-02,Liquid Nitrogen (LN2) ,133.0,2,4,3,11
2026-04-05,AI Gloves (50 Pcs Packet) - 2024,2.0,5,4,6,0
2026-04-05,AI Sheath - for 0.25 ml straw (50 Pcs Packet),6.0,5,4,6,3
2026-04-05,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),131.0,5,4,6,5
2026-04-05,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),81.0,5,4,6,6
2026-04-05,Frozen Semen Straw (FSS) - GIR,99.0,5,4,6,7
2026-04-05,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,126.0,5,4,6,8
2026-04-05,Liquid Nitrogen (LN2) ,60.0,5,4,6,11
2026-04-06,AI Gloves (50 Pcs Packet) - 2024,12.0,6,4,0,0
2026-04-06,AI Sheath - for 0.25 ml straw (50 Pcs Packet),21.0,6,4,0,3
2026-04-06,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),374.0,6,4,0,5
2026-04-06,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),566.0,6,4,0,6
2026-04-06,Frozen Semen Straw (FSS) - GIR,373.0,6,4,0,7
2026-04-06,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,309.0,6,4,0,8
2026-04-06,Frozen Semen Straw (FSS) Buffalo Murrah,45.0,6,4,0,9
2026-04-06,Liquid Nitrogen (LN2) ,370.0,6,4,0,11
2026-04-07,AI Gloves (50 Pcs Packet) - 2024,17.0,7,4,1,0
2026-04-07,AI Gun (for 0.25 ml straw) with Container_2025,1.0,7,4,1,2
2026-04-07,AI Sheath - for 0.25 ml straw (50 Pcs Packet),35.0,7,4,1,3
2026-04-07,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),336.0,7,4,1,5
2026-04-07,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),728.0,7,4,1,6
2026-04-07,Frozen Semen Straw (FSS) - GIR,474.0,7,4,1,7
2026-04-07,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,514.0,7,4,1,8
2026-04-07,Frozen Semen Straw (FSS) Buffalo Murrah,5.0,7,4,1,9
2026-04-07,Goblet (35 X 118mm)_2023,1.0,7,4,1,10
2026-04-07,Liquid Nitrogen (LN2) ,475.0,7,4,1,11
