Sale Date,Qty,Day,Month,DayOfWeek
2026-04-01,497.0,1,4,2
2026-04-02,133.0,2,4,3
2026-04-05,60.0,5,4,6
2026-04-06,370.0,6,4,0
2026-04-07,475.0,7,4,1
2026-04-08,375.0,8,4,2
2026-04-09,54.0,9,4,3
2026-04-10,42.0,10,4,4
2026-04-13,482.0,13,4,0
2026-04-14,141.0,14,4,1
2026-04-16,523.0,16,4,3
2026-04-17,294.0,17,4,4
2026-04-20,273.0,20,4,0
2026-04-21,355.0,21,4,1
2026-04-22,280.0,22,4,2
2026-04-23,193.0,23,4,3
2026-04-24,117.0,24,4,4
2026-04-27,545.0,27,4,0
2026-04-28,195.0,28,4,1
2026-04-29,24.0,29,4,2
2026-04-30,303.0,30,4,3
2026-05-03,105.0,3,5,6
2026-05-04,45.0,4,5,0
2026-05-05,201.0,5,5,1
2026-05-06,624.0,6,5,2
2026-05-07,149.0,7,5,3
2026-05-08,2.0,8,5,4
2026-05-09,55.0,9,5,5
2026-05-11,217.0,11,5,0
2026-05-12,705.0,12,5,1
2026-05-13,488.0,13,5,2
2026-05-14,38.0,14,5,3
2026-05-15,22.0,15,5,4
2026-05-18,262.0,18,5,0
2026-05-19,276.0,19,5,1
2026-05-20,486.0,20,5,2
2026-05-21,26.0,21,5,3
2026-05-22,7.0,22,5,4
2026-05-25,447.0,25,5,0
2026-05-26,427.0,26,5,1
2026-05-27,371.0,27,5,2
2026-05-28,49.0,28,5,3
2026-05-29,85.0,29,5,4
2026-05-30,10.0,30,5,5
2026-05-31,18.0,31,5,6
2026-06-01,496.0,1,6,0
2026-06-02,220.0,2,6,1
2026-06-03,565.0,3,6,2
2026-06-04,94.0,4,6,3
2026-06-05,6.0,5,6,4
2026-06-06,16.0,6,6,5
2026-06-08,230.0,8,6,0
2026-06-09,168.0,9,6,1
2026-06-10,520.0,10,6,2
2026-06-11,87.0,11,6,3
2026-06-12,67.0,12,6,4
2026-06-14,3.0,14,6,6
2026-06-15,495.0,15,6,0
2026-06-16,256.0,16,6,1
2026-06-17,453.0,17,6,2
2026-06-18,42.0,18,6,3
2026-06-19,70.0,19,6,4
2026-06-22,379.0,22,6,0
2026-06-23,454.0,23,6,1
2026-06-24,302.0,24,6,2
2026-06-25,165.0,25,6,3
2026-06-27,26.0,27,6,5
2026-06-29,154.0,29,6,0
2026-06-30,257.0,30,6,1
2026-07-01,547.0,1,7,2
2026-07-02,103.0,2,7,3
2026-07-03,71.0,3,7,4
2026-07-04,12.0,4,7,5
2026-07-07,408.0,7,7,1
2026-07-08,543.0,8,7,2
