Sale Date,Office Name,Office_ID,Product,Product_ID,Qty,Day,Month,DayOfWeek
2026-04-01,BEO BARASAT-II,4,AI Gloves (50 Pcs Packet) - 2024,0,2.0,1,4,2
2026-04-01,BEO BARASAT-II,4,AI Sheath - for 0.25 ml straw (50 Pcs Packet),3,3.0,1,4,2
2026-04-01,BEO BARASAT-II,4,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),5,9.0,1,4,2
2026-04-01,BEO BARASAT-II,4,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),6,42.0,1,4,2
2026-04-01,BEO BARASAT-II,4,Frozen Semen Straw (FSS) - GIR,7,83.0,1,4,2
2026-04-01,BEO BARASAT-II,4,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,8,19.0,1,4,2
2026-04-01,BEO BARASAT-II,4,Liquid Nitrogen (LN2) ,11,104.0,1,4,2
2026-04-01,BEO BARRACKPUR-I,5,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),5,187.0,1,4,2
2026-04-01,BEO BARRACKPUR-I,5,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),6,165.0,1,4,2
2026-04-01,BEO BARRACKPUR-I,5,Frozen Semen Straw (FSS) - GIR,7,265.0,1,4,2
2026-04-01,BEO BARRACKPUR-I,5,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,8,3.0,1,4,2
2026-04-01,BEO BARRACKPUR-I,5,Frozen Semen Straw (FSS) Buffalo Murrah,9,75.0,1,4,2
2026-04-01,BEO BARRACKPUR-I,5,Liquid Nitrogen (LN2) ,11,270.0,1,4,2
2026-04-01,BEO HASNABAD,15,AI Sheath - for 0.25 ml straw (50 Pcs Packet),3,5.0,1,4,2
2026-04-01,BEO HASNABAD,15,Frozen Semen Straw (FSS) - Cross Breed Holstein Friesion (CBHF),5,55.0,1,4,2
2026-04-01,BEO HASNABAD,15,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),6,75.0,1,4,2
2026-04-01,BEO HASNABAD,15,Frozen Semen Straw (FSS) - GIR,7,67.0,1,4,2
2026-04-01,BEO HASNABAD,15,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,8,65.0,1,4,2
2026-04-01,BEO HASNABAD,15,Liquid Nitrogen (LN2) ,11,36.0,1,4,2
2026-04-01,BEO HINGALGANJ,16,Frozen Semen Straw (FSS) - GIR,7,86.0,1,4,2
2026-04-01,BEO HINGALGANJ,16,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,8,63.0,1,4,2
2026-04-01,BEO HINGALGANJ,16,Liquid Nitrogen (LN2) ,11,39.0,1,4,2
2026-04-01,BEO MINAKHAN,17,Frozen Semen Straw (FSS) - Cross Breed Jersey (CBJ),6,10.0,1,4,2
2026-04-01,BEO MINAKHAN,17,Frozen Semen Straw (FSS) - GIR,7,86.0,1,4,2
2026-04-01,BEO MINAKHAN,17,Frozen Semen Straw (FSS) - Pure Jersey (PJ) ,8,39.0,1,4,2
2026-04-01,BEO MINAKHAN,17,Liquid Nitrogen (LN2) ,11,48.0,1,4,2
2026-04-02,BEO AMDANGA,0,AI Gloves (50 Pcs Packet) - 2024,0,1.0,2,4,3
2026-04-02,BEO AMDANGA,0,AI Sheath - for 0.25 ml straw (50 Pcs Packet),3,2.0,2,4,3
